Accession,Number_of_N
IMS-10116-CVDP-B27F6401-FD5B-4B54-8A3A-81EB50858D2C,114
IMS-10116-CVDP-1C3D215A-11DE-4704-B364-6DA4F263C1EB,259
IMS-10116-CVDP-CB0D0600-71D5-47B7-8723-132849671024,428
IMS-10116-CVDP-22A3DE3D-6379-4FEC-AC29-2A67AB9796FC,521
IMS-10020-CVDP-745DC299-4B46-46FF-B8C3-3D5F6DFE1CE1,2
IMS-10116-CVDP-D62FB62B-98E0-4332-8067-4D0E09F6BD7E,419
IMS-10116-CVDP-19B9EDAB-A77B-4555-9E89-9C328621C8B0,467
IMS-10013-CVDP-F6A321CB-83D8-4741-916D-A341CD86BFDD,31
IMS-10116-CVDP-8312A28F-7699-4B78-ABE7-B0A0F76A7956,256
IMS-10013-CVDP-8E65A64E-ACA5-4232-8446-6F81FBA2AC8E,254
IMS-10013-CVDP-150009FB-A723-4199-88DC-66B9F2DDD625,35
IMS-10116-CVDP-A2537FFB-38EF-4564-B63D-F92DFD5758E1,372
IMS-10013-CVDP-56B68107-D4E9-499E-92CA-F035466EB654,36
IMS-10013-CVDP-7758FDDA-4C6C-4946-9438-EFE31DFCDA39,37
IMS-10116-CVDP-551BEAB4-000C-41A3-8CB1-E60378AEE780,259
IMS-10116-CVDP-046D7795-A6E6-4F2D-B8D6-FA8854E3AF2D,416
IMS-10013-CVDP-6FD7372B-312E-4ECF-97E9-2FC1D306CD8E,40
IMS-10116-CVDP-DB5540FF-042B-46F4-B5EA-8DD3E7EC6F37,320
IMS-10116-CVDP-C4C7E391-A1AD-45FB-87FF-F0A0394F3600,403
IMS-10116-CVDP-CE63BF13-7F4B-4A1C-AD19-DFA119240763,422
IMS-10116-CVDP-863F510D-325D-4EC3-9D9D-C043B9887729,259
IMS-10116-CVDP-9094E82F-5078-4A23-AE60-C35250BDAF87,658
IMS-10116-CVDP-3711C291-2C47-4678-8368-58DE7AA0E447,259
IMS-10013-CVDP-C52A2D30-BADF-4F22-9721-6B1F5F742D09,98
IMS-10116-CVDP-752BC0D8-A887-4BD1-A9ED-85DCCC631B52,416
IMS-10013-CVDP-9071BA2F-BB0F-43F7-9B1B-9C248D70494F,267
IMS-10116-CVDP-8AA578B0-DAB4-4640-A6E4-23B21E3CF5A3,257
IMS-10116-CVDP-5D49189E-44DC-4F79-8389-034620C8E814,421
IMS-10116-CVDP-29691313-100B-4F7D-A4A4-C594001E3610,343
IMS-10013-CVDP-91B0AC7F-F404-4320-A601-A1ED7A23588D,247
IMS-10116-CVDP-2BEFA845-BBD7-4AB1-8E94-19A4B77A5DB5,416
IMS-10116-CVDP-69842C7B-D757-4D74-9191-5FDADFD32A8E,535
IMS-10116-CVDP-B464C1EF-7901-4E99-9B68-A13673CA34D8,256
IMS-10116-CVDP-571E4E0E-8EB4-49E9-B711-E22C9C0B8E0B,259
IMS-10150-CVDP-13400CF7-BA2D-4F17-93D7-58ADAE51F7CA,284
IMS-10116-CVDP-7A6AC7F9-2983-4E2C-9CFF-89A5C42B5E1E,121
IMS-10013-CVDP-20EDDFBE-184B-4930-AB41-8365D02EE3F1,42
IMS-10116-CVDP-9F07236B-1BA3-4BA4-B168-34AB01BB4FC8,251
IMS-10013-CVDP-01902,20
IMS-10116-CVDP-D2ED3941-7BEA-4A95-A4A0-38858D1FFEE5,337
IMS-10116-CVDP-11A85F44-C28E-4CA7-9A62-927FF6C20CE0,249
IMS-10116-CVDP-B6C7D834-8BC8-461A-8561-EB6AFF9026CD,250
IMS-10013-CVDP-222491D7-5C16-4B6D-8EA1-D63DD840585F,40
IMS-10116-CVDP-8AA8026D-2A3D-4642-AAFE-61DF1D2B392F,257
IMS-10116-CVDP-39C9372C-4996-4A9C-9078-A94E04FF1AAF,460
IMS-10116-CVDP-9748713F-7061-4AE4-8B76-C4E0E268262B,227
IMS-10116-CVDP-AE6672AF-3503-41AC-9E1F-B824397E2628,690
IMS-10116-CVDP-46717C4B-59BA-44CB-BB97-D47DC379A5E6,259
IMS-10116-CVDP-77425381-9A60-47E8-B5B8-393B11351CAD,447
IMS-10116-CVDP-26498713-3B34-4836-B68A-9A789AC8A723,771
IMS-10116-CVDP-FCA881EC-4530-406A-97C1-8F7D6599B6FC,121
IMS-10013-CVDP-39652755-8457-4F54-BB90-7A179A21313D,26
IMS-10116-CVDP-75ED0024-4516-4668-A9CF-B4BCE46027D6,250
IMS-10116-CVDP-253069E9-CEAB-40CF-BD80-911C6A9E7221,259
IMS-10116-CVDP-32BD9EC1-793A-43C8-B194-5878ABDC1544,435
IMS-10116-CVDP-BB465901-6987-46D4-8F11-6D796149812D,103
IMS-10116-CVDP-5EFFE6F7-64FD-4C65-92DE-848F68D12841,342
IMS-10116-CVDP-E59D9A9D-346D-48C3-A931-60ED5D341815,251
IMS-10013-CVDP-9CF89646-4631-4C9F-8C17-61519750F02A,7
IMS-10116-CVDP-09EFCEC2-B67E-4D3E-932B-C9444C32887C,255
IMS-10116-CVDP-CB2AAB9C-FE02-4E9B-9E1B-9FFDB6234E37,1074
IMS-10116-CVDP-11E11DEA-E083-46CD-8F3A-9FFFDDB8C328,432
IMS-10013-CVDP-C3E3ABC9-2FAE-40EC-8647-7494C1EB3512,33
IMS-10116-CVDP-0675FE8C-4D96-4B9C-9136-93C3E87EBAFF,1059
IMS-10116-CVDP-E0BD827B-7F51-4EB2-8B38-AAE225BEA932,460
IMS-10116-CVDP-63AF5535-1D49-4414-8B92-71F46720F064,350
IMS-10116-CVDP-17BBED03-76D1-48F5-875E-F3CA64CA46E2,88
IMS-10150-CVDP-DFACD740-B64F-40CF-ABDA-895F870368B4,167
IMS-10116-CVDP-B2DD6901-F6EC-4386-9855-8E5A8BF9497B,259
IMS-10116-CVDP-F7BBA8EE-317F-4738-AA02-55C1B1114687,424
IMS-10591-CVDP-000017,82
IMS-10116-CVDP-C7A297CB-AA15-4D5F-88F0-7E6FCAF7E382,573
IMS-10116-CVDP-9BD267BA-61D9-4DA8-B1EB-225EEE3A4D0A,259
IMS-10116-CVDP-148A170D-669B-4EDD-B2E4-149F8F3132CA,251
IMS-10013-CVDP-280D47A3-7AF2-41C9-8996-76C6A302DB31,133
IMS-10318-CVDP-5D4CAFF6-AD66-4291-A80C-356224C85585,14
IMS-10116-CVDP-384F6710-9727-4B16-9401-12064868107D,257
IMS-10116-CVDP-C69B0471-AB60-4271-8C6A-EB96FA0C1918,186
IMS-10116-CVDP-44B5CC1E-34B4-4660-96DD-6FB3DB101E26,930
IMS-10116-CVDP-DD8DC097-1C0C-486E-A12D-0BFB10E362F3,121
IMS-10036-CVDP-C2DEF161-B7C7-4822-8C5D-B167333D92DF,100
IMS-10116-CVDP-F24BFA10-F979-42FF-98F8-83DD4B298758,832
IMS-10116-CVDP-FFC4BC41-9604-46BF-8E2A-690FCCA919B6,121
IMS-10013-CVDP-4C03BD85-5FD3-45D4-8880-C5FF505E5A45,248
IMS-10116-CVDP-A9DF1859-D219-44DF-8CFB-D4E9EC7AFBE6,420
IMS-10116-CVDP-1285AEF0-1B8D-47B1-884D-71B79FDA7020,416
IMS-10116-CVDP-E1704BBB-5F4F-48E9-93CE-10A96ACF4F41,349
IMS-10116-CVDP-7497FA0B-2590-49A5-8A16-1E35F4FAFFFA,259
IMS-10116-CVDP-6291C55B-3BC3-4644-8A7D-14BFF5F47300,259
IMS-10116-CVDP-44AB5894-3C0B-47E2-BD01-21B88DCE1C1C,78
IMS-10116-CVDP-F1EE544A-7839-425B-B2BF-23B5F02DFCDA,257
IMS-10116-CVDP-D135B3E5-FC14-495F-96ED-6C095023955E,605
IMS-10116-CVDP-A200DF53-40D5-4267-90FD-A537AE0DBB2B,289
IMS-10116-CVDP-3FDD55F8-3D3F-4157-9D1D-56B77208F782,121
IMS-10116-CVDP-50E37B2F-EC9B-43CA-97B2-F3E865BF7A4A,368
IMS-10116-CVDP-EFD62FAF-7285-436B-A4EA-9721F1B6EAF6,257
IMS-10116-CVDP-9BEDC22F-F69A-4F89-ACF8-15E80A55E05A,575
IMS-10116-CVDP-259C28BC-5962-449A-B4E8-5767994CB488,126
IMS-10036-CVDP-07558E80-7FCB-4C5E-A745-F9413020FACB,398
IMS-10116-CVDP-7FCC44CF-3FCE-4CD0-A2AD-9A4686B8649F,252
IMS-10116-CVDP-21F6C856-3664-4941-B2C3-DF987ED352C8,121
IMS-10116-CVDP-4470F1AB-A1C7-4CA1-BFAB-ABEE2F52DDBB,88
IMS-10116-CVDP-024D3492-6BC6-4EDB-97ED-EA3BCF22C284,424
IMS-10116-CVDP-04CED491-E6E0-45C0-A725-E4E3F47AEBED,121
IMS-10013-CVDP-934DF280-32CF-47AA-9106-0AA526F28F7F,41
IMS-10116-CVDP-F16449C2-6C88-4AAC-AC2C-60E2F820EDC7,224
IMS-10116-CVDP-FB66A716-9515-4061-900B-ECE8D55C6357,416
IMS-10116-CVDP-E9202222-7223-4834-918F-CB4637E49A34,436
IMS-10116-CVDP-C20B6245-7493-469C-BD76-6694EEA3FDE1,342
IMS-10116-CVDP-C78C2496-17CB-47EA-A368-0572E047A96D,424
IMS-10116-CVDP-385D6B27-988D-4332-B873-757193B43BDB,261
IMS-10116-CVDP-E553F0EF-9417-49C3-A84A-A68310D6710B,351
IMS-10116-CVDP-E49A49B8-5919-4B32-A3E5-662F59F140EA,121
IMS-10116-CVDP-27175CDC-93B1-486B-9476-C381AA9D55C8,634
IMS-10116-CVDP-42E709F1-C6CB-4F17-805D-1F2FA50E8550,369
IMS-10013-CVDP-56C7AC84-6136-499A-BBCE-9C9C07A1C9CF,8
IMS-10116-CVDP-75A681C9-311F-4E09-AE28-2AC0FC69468F,257
IMS-10116-CVDP-CF793155-984C-4B7E-B483-3899C96FDE47,358
IMS-10116-CVDP-C9A3FF61-A970-4A0F-96D6-DB9D8D47157E,121
IMS-10116-CVDP-8EB6B487-1570-4092-B516-3A621789215D,416
IMS-10013-CVDP-9A7252A6-9CDA-4FDD-822E-34E0FB748C60,7
IMS-10013-CVDP-2392E97D-0A35-4350-9B1C-77CEA8FB261E,24
IMS-10116-CVDP-FA3A70B7-B85C-427B-AC31-CF7AAA218132,253
IMS-10013-CVDP-AE851D97-9F7E-49B4-8AB1-94981E9AF9CD,33
IMS-10116-CVDP-E57C203A-9543-4CB3-8175-3C193ED1456A,174
IMS-10116-CVDP-5B321991-4EE5-4D79-A5BE-075329110DEB,257
IMS-10036-CVDP-8C95DE9F-383B-4FC6-9819-19030130F15D,389
IMS-10224-CVDP-C9881738-A13D-46B7-974D-2C6AA6F75D13,702
IMS-10116-CVDP-FBC374A4-2160-4C87-9EB6-7F81A9F8A609,445
IMS-10116-CVDP-7F93DB44-F7D0-40F9-BA13-172B7C5C841D,554
IMS-10116-CVDP-B50E54A3-E2EC-4BD0-8C6F-8CA90E3DA212,435
IMS-10116-CVDP-1B22581F-E74E-471F-9E7E-F702C5805414,125
IMS-10116-CVDP-5DF6AAD2-2562-4E91-954C-CD8E9A237392,612
IMS-10116-CVDP-D5990109-4D3E-4994-810D-9C94660F8AFC,1335
IMS-10116-CVDP-266FBFCE-D7D9-4B8A-A00D-3EEBD4467FCB,123
IMS-10116-CVDP-74AD40B5-A05B-4E7E-B90A-25C6DD17D0E1,476
IMS-10150-CVDP-2B513A14-FB2B-499C-9333-F3BF40354DDF,0
IMS-10116-CVDP-A2BF782F-F874-492B-9436-DEE07E4110B2,690
IMS-10116-CVDP-5843DC23-FE9B-49E3-BABE-9A4CCA8C234F,421
IMS-10116-CVDP-58C2B818-2E2D-4651-9E28-ACB8A996BC6B,259
IMS-10116-CVDP-DEDAD0A8-6C76-4DC6-BCCB-8F5C8E9D1338,562
IMS-10036-CVDP-FE390261-C74B-4E0C-B19F-973E3E8C2BE7,260
IMS-10116-CVDP-66AE92B9-305C-4CCB-9A04-99CDE2DD5995,259
IMS-10318-CVDP-88FF1743-5DF4-408F-A60D-86D78618DE8F,8
IMS-10116-CVDP-00118F47-DD00-422D-9918-4FA6B2D561C0,317
IMS-10116-CVDP-7B60F7D9-5074-4FE5-8F8A-C83D4EF47857,385
IMS-10036-CVDP-53C2CD81-D1BE-4CB8-99B3-B85586DEFBFA,261
IMS-10013-CVDP-BD2A2E68-6618-4362-909E-17FDB4D58B89,36
IMS-10116-CVDP-8D5B3760-36F3-4D17-8AC2-9EFCD070B1D8,121
IMS-10013-CVDP-B06BCF29-FD0E-4046-BAA4-241B5BA6FD58,99
IMS-10013-CVDP-ADE519B3-852F-44AB-8BBA-77D1E2C131DC,17
IMS-10013-CVDP-D37D730D-1B76-4562-8B42-7C4C5626616A,260
IMS-10116-CVDP-BCB67FBF-E1A5-4993-B1ED-AEA0FCAF674A,416
IMS-10013-CVDP-28866474-77C1-4084-B4F7-D5CBE94CBE56,31
IMS-10116-CVDP-9655031E-090A-4455-A6A9-A726F815CC9C,262
IMS-10116-CVDP-FE713052-6845-4A83-8B9D-1E35B612CB1F,421
IMS-10116-CVDP-E2FF6108-7CCC-4EDA-8ABB-F0FC201900D1,252
IMS-10116-CVDP-26A69A07-49E5-4357-A156-7E6B638E3091,257
IMS-10013-CVDP-FA9D3B9F-7DAC-4F80-9A18-A98A00C56032,33
IMS-10116-CVDP-6E7CF563-F4F0-4860-A089-75DB68AA62A2,253
IMS-10116-CVDP-0275FF82-5A9D-4152-AD78-5ED6DF7F6CCD,259
IMS-10116-CVDP-771A9A4A-A994-4B0B-B143-ECD5344A919A,416
IMS-10116-CVDP-A0B170BB-8AE3-4064-B006-1F939084EA91,251
IMS-10116-CVDP-BD4C73FA-667C-4927-B3E5-DBD18FA6C201,370
IMS-10013-CVDP-CAAD47D7-32A8-4DDD-9879-EDE419F5A939,29
IMS-10116-CVDP-04E48001-4615-4341-AAB6-1B357A99997A,380
IMS-10116-CVDP-23DFDF5C-84EC-4529-A12F-36B5CC9BD103,302
IMS-10116-CVDP-77934865-A07B-416F-89E5-0597FFD20D2D,243
IMS-10013-CVDP-937472AC-1C59-4E6D-9165-35CE47179687,34
IMS-10116-CVDP-87244F6A-03A9-469D-ACB6-5584107C3BE5,263
IMS-10116-CVDP-DD7FD49B-9FFC-44FB-BA3E-F326B7894FC8,154
IMS-10116-CVDP-33BF6983-ED92-4CC2-AEC2-9C8102EACAAE,1239
IMS-10116-CVDP-A06926DC-31F6-4250-BF2A-0D4CD622F2BF,396
IMS-10116-CVDP-7F852F36-0A33-412E-8960-132D262FE09E,259
IMS-10013-CVDP-674F83F4-B156-499F-B0C9-B38A3E48A18A,960
IMS-10116-CVDP-9ED1A73B-4DA5-44AE-8650-0599DA2ECB00,253
IMS-10013-CVDP-BCC6534E-BD4E-4252-873F-08D7ACE7FEEE,39
IMS-10013-CVDP-560E9EED-E3D9-4881-B150-E7F1F81F56AA,40
IMS-10116-CVDP-536B9CAF-8631-4EEB-B5C4-2DCC09A0DD91,121
IMS-10116-CVDP-4BEB5252-2912-45B5-8E81-3AD8B8EF675D,474
IMS-10116-CVDP-7CCFA9C2-A3B3-4E37-924C-8D97D7E90A23,259
IMS-10116-CVDP-29A7971F-1A5E-48A2-B5C1-DA95D5E1834E,361
IMS-10013-CVDP-66D2835E-45E1-4444-97A9-41A8855F817E,45
IMS-10116-CVDP-46C1A194-8557-45DA-9CFB-3506F8696A0D,418
IMS-10116-CVDP-11F24150-6805-4B01-ADF0-2ED93F066B4F,121
IMS-10116-CVDP-A9323911-6BC0-49E6-82FB-08C13B450D44,416
IMS-10036-CVDP-475CAFB2-259A-4779-9B3B-FF9CD7332CC4,788
IMS-10013-CVDP-C65F6058-0442-41EC-BA2F-23FFF1771377,32
IMS-10116-CVDP-A3DC50B3-B629-4524-A2A1-8189E27AB459,411
IMS-10013-CVDP-0A548786-6657-46B5-95B1-4913D4D1D7FE,30
IMS-10116-CVDP-CC4C55F4-4398-47E3-9C97-C3A0EB73CC62,862
IMS-10036-CVDP-60A94A7F-3898-426E-A998-5F39C2BAE945,63
IMS-10013-CVDP-0AD3BBA2-8294-4819-89B8-FC9F03AFC4E0,264
IMS-10013-CVDP-F5A86C9E-D3BC-45D4-8EB3-8FF87AF86DCE,113
IMS-10116-CVDP-ECEC2D18-977D-4C0D-8B72-16ACD980F705,249
IMS-10116-CVDP-95F48385-DCCF-41C2-AF6E-E6E50CEA6D7C,121
IMS-10116-CVDP-5FD722CD-EA87-4A5A-B19C-B5E639B1E6D4,424
IMS-10013-CVDP-9D7381B6-8655-44DA-9B3D-45D530951FE6,78
IMS-10116-CVDP-61274572-5340-43D7-82D1-5BD4018B59EC,259
IMS-10036-CVDP-18A9AABB-22AE-44A9-943D-3FA485E80125,302
IMS-10116-CVDP-EFAFC83D-BF6C-4E5F-85E5-488110CCEDBF,258
IMS-10116-CVDP-80D9A58B-506D-42A3-BE88-66DB1653EF2A,140
IMS-10013-CVDP-AFC4E859-5786-4323-B236-B5968AFCEFA2,35
IMS-10116-CVDP-5786C928-B5A3-48E1-B204-722BE8E66F78,330
IMS-10036-CVDP-72BDDAC7-B77D-4D18-B751-9833895D04B8,394
IMS-10116-CVDP-FF8D9A4D-B252-4D32-8CFA-28D2D022776E,121
IMS-10116-CVDP-BC5E7A39-02AD-42E1-BAFC-FBBCEB4BBF24,259
IMS-10013-CVDP-CCC3B97C-A594-4AFF-B400-96F01DB7D4DF,48
IMS-10116-CVDP-B5DEA923-3DEA-4571-8CD0-27FB7A1CCC1C,605
IMS-10116-CVDP-89827D37-82F4-4122-BA78-BFBDB73C8B01,447
IMS-10116-CVDP-9E43117F-44D6-4C6C-BCE7-41BDAE3753D4,335
IMS-10013-CVDP-AB391099-49E2-4DB2-9A2B-74988DAFA129,573
IMS-10116-CVDP-0AEA4031-66E5-4B4A-85A4-D53662CC0A5A,259
IMS-10116-CVDP-694E5923-6F90-442C-AAD5-D84C8562AA72,416
IMS-10013-CVDP-FD1C7E05-8083-45E4-B87C-81938CD732BD,248
IMS-10013-CVDP-03819205-C4EF-48F4-8C6F-6A4BEE53F39A,33
IMS-10116-CVDP-9951D064-711A-4B9D-97E8-073C5EEB0276,414
IMS-10013-CVDP-AA715E5E-CEB6-4722-B26A-AFC5AB03237B,1287
IMS-10116-CVDP-F3D0407A-2E57-4C0C-9A0E-489030603F05,259
IMS-10116-CVDP-B9D0DCF2-5C06-4F65-A359-2E91F49D8809,468
IMS-10116-CVDP-6A140116-9A25-4BE0-BB8A-BE6AE593841B,149
IMS-10013-CVDP-E5AF2CAB-12C5-4A80-B6F7-37B6183A2950,20
IMS-10116-CVDP-F9EAA00C-B231-4A47-8CD3-749FD5647310,485
IMS-10116-CVDP-45FE08C2-5C75-4F2A-8DC9-727AC785CBBC,259
IMS-10116-CVDP-4B4C76E0-91F8-4FFA-81D0-844572EDF07A,704
IMS-10116-CVDP-EFBF547A-B6D1-4E72-B2E3-6997A8EB8BAD,259
IMS-10116-CVDP-DB6773D0-B033-4C68-9459-AE82855AA1C8,259
IMS-10013-CVDP-D09B18B0-881F-4181-B0E2-8E45EEE56E79,32
IMS-10013-CVDP-129C0F7A-7D7C-4057-A8F1-DD3E4033754C,33
IMS-10013-CVDP-8B06440D-8658-402A-9679-91A854BFD022,282
IMS-10116-CVDP-CD9B18F9-72A5-4F31-BDB2-0DB372173035,343
IMS-10116-CVDP-7D73832D-EA2F-49E7-AB2A-986EBE22C7E3,104
IMS-10116-CVDP-CA10C624-34DA-490B-AECC-7AFADE1E2E13,259
IMS-10116-CVDP-4EED7232-24C9-4729-A0DF-B9C68AD38B35,259
IMS-10116-CVDP-5A1B470F-7F87-4E9D-B832-BA31C62EE60C,370
IMS-10116-CVDP-86053E06-5F40-4B06-BD96-E22705A19599,121
IMS-10013-CVDP-93CC171C-7C91-4449-85EE-3F8B3BE786FE,4
IMS-10116-CVDP-85DFCFA9-AEB3-4E0B-BF28-BC3B5EFF6707,341
IMS-10116-CVDP-7AE780BC-0228-4838-B86C-8F330A591BAF,253
IMS-10116-CVDP-A2F8EBDD-70B4-44BD-8CDE-D0E20649C3B7,771
IMS-10013-CVDP-ACF74C94-92E4-435F-8804-76BD3A770CBC,214
IMS-10036-CVDP-94073ACD-7AD6-4A4D-B726-DD272FDB3B9C,265
IMS-10013-CVDP-23D3286D-FF6D-474D-BB2E-BE91AC3EE204,601
IMS-10116-CVDP-661F5522-6C46-4F0F-BF9C-ABD851F5FAEC,634
IMS-10116-CVDP-A91E237E-A1D0-4031-88E5-282AE02CCAEA,425
IMS-10116-CVDP-32DA9725-08F2-4EB5-A8E5-46DC53CE66E6,418
IMS-10116-CVDP-9A023C4D-9B10-4EF2-B55E-F5D75792BD52,634
IMS-10116-CVDP-8939ACA6-C5D0-43C2-98B3-589996D14FC1,546
