Accession,Number_of_N
IMS-10087-CVDP-B48F348D-82AD-43AA-B102-F29A6BB14A1B,506
IMS-10594-CVDP-91EEE9E2-9F19-42CB-A946-2449719A1C98,82
IMS-10186-CVDP-F69502CA-ACB9-4A43-B906-AA90D50E51D5,531
IMS-10594-CVDP-C4C308E9-3310-4B73-98C8-9E69F602215A,333
IMS-10225-CVDP-FAF57EE3-5E47-47ED-826A-C032FF87DC64,563
IMS-10225-CVDP-601DF3A1-5FFB-4668-9DF0-4EE97E8FDF3F,222
IMS-10087-CVDP-58C06075-C961-4133-86B6-020FE0E9BE56,530
IMS-10061-CVDP-CE409B8E-8C00-4220-A144-679D6A333291,270
IMS-10116-CVDP-B75A328E-70D9-4978-B0AD-97F4CF18EAED,259
IMS-10087-CVDP-4DDF9485-BB90-4E38-A8E8-4986D6F85E7A,422
IMS-10267-CVDP-49484469-1B9A-42A3-96EC-F6C2F0786016,353
IMS-10116-CVDP-B06B7438-10F8-4D54-8A6D-CDE33AFCCD81,460
IMS-10116-CVDP-6FBC7FFA-EA83-486F-B697-1DC06B11DB10,251
IMS-10225-CVDP-FED4934C-36A5-47B0-B05A-B51591153CBD,651
IMS-10227-CVDP-3D624C67-7963-4E53-9548-4714DB66CC2D,38
IMS-10186-CVDP-29D4B18C-3B6B-4BB8-B3B3-5695182201D8,1125
IMS-10261-CVDP-9BF5FA05-5F36-4ACB-9797-770B4CA6D7DD,599
IMS-10116-CVDP-677DCC3E-E9B6-4155-B546-9A3B63C64544,75
IMS-10261-CVDP-14A3D496-46D1-4B8B-9008-F8471EF9A846,473
IMS-10087-CVDP-9908C812-A5E1-48CA-A62D-38EC8931EC49,144
IMS-10087-CVDP-9DE722B9-CE46-459B-AAF6-C9E68D089D7D,123
IMS-10116-CVDP-DA8541EB-BCE0-4B92-9B83-3906493EBCBE,121
IMS-10186-CVDP-76BCF107-FBF7-4A7F-9583-959AC60CD9F7,452
IMS-10013-CVDP-30E71C64-BCE0-49A4-B5B5-748ED98B457C,415
IMS-10061-CVDP-CEE666F2-D73A-474C-A6FF-DFC805325CD3,0
IMS-10267-CVDP-E7A83C80-2C2A-435E-9F17-C95449360DBA,289
IMS-10087-CVDP-B5430AA9-9857-4C95-90E2-BEBF639A997F,492
IMS-10186-CVDP-2A154E6C-2A8F-4E79-927A-F63FEF04004B,904
IMS-10087-CVDP-CB971E79-90FB-45CD-91D4-4E25A316F0F2,615
IMS-10186-CVDP-45EE750B-FD13-4DAE-AE06-4AE0BF9C259A,508
IMS-10261-CVDP-D731D89B-14B8-4DA7-A116-964648A66D89,828
IMS-10267-CVDP-BCCD764C-AF74-44E6-B342-3E8093A0F998,370
IMS-10267-CVDP-17BCEA1D-08B1-4071-99EA-179950E6D38F,412
IMS-10267-CVDP-A04D50F3-1C59-4A0A-B6E8-A9C75E9D61D3,884
IMS-10087-CVDP-6DF6CDE2-9658-4EB0-BD4E-96FE9FA42A01,128
IMS-10087-CVDP-E29A4668-282C-4139-8B58-E97010A4355C,348
IMS-10186-CVDP-60529EB2-2934-419B-BDAF-F15DB4F7E8E8,1577
IMS-10225-CVDP-C050A7F8-5C55-460D-B58B-5CC290768E93,536
IMS-10116-CVDP-66D1A625-BA23-4B6A-B406-B8B06C599C29,420
IMS-10261-CVDP-747702D0-A497-4E17-A4CD-23733DA5811D,788
IMS-10087-CVDP-8D20A9FF-1C03-41FA-957E-263ACA7D9DC7,470
IMS-10087-CVDP-7260B624-C959-47B3-B9AB-9C479A96606B,360
IMS-10116-CVDP-7FB9B68B-7F33-470E-B27A-A01DD1B8C439,2283
IMS-10261-CVDP-A9672C06-1275-4198-BA09-C65275B95F9A,274
IMS-10087-CVDP-FAC563AE-6A40-4178-9360-AAF9350C57F4,509
IMS-10341-CVDP-79A3A732-59F8-4CC3-B6E5-A559F16127ED,495
IMS-10227-CVDP-FD5A32E9-2B3C-41CF-BA57-053BD104CF55,72
IMS-10227-CVDP-0CF98704-4B84-4166-B135-67BEFCF5BCAC,73
IMS-10116-CVDP-BC774589-7D7F-4772-9F74-E9F2CA1520FA,978
IMS-10267-CVDP-4DE3E8EB-4B5F-4A70-A8A8-CB76886B85C0,219
IMS-10116-CVDP-64F8E2B2-9233-4885-9E7A-DEF2877F9DB0,121
IMS-10267-CVDP-3AA01D64-98F2-4DDC-9AF5-678EACE56B06,881
IMS-10267-CVDP-662D1BEF-8AFF-42E4-97B6-2A6E187088C4,425
IMS-10087-CVDP-D4FF12B1-3FE5-45C8-923C-3BD914B12CE6,614
IMS-10267-CVDP-43B6765E-4275-45DF-A892-755D7D0D8C80,356
IMS-10116-CVDP-12FF02F8-CF91-48B7-9CC3-758551378437,253
IMS-10087-CVDP-796EF851-CC7E-4901-87D7-CA4250477374,363
IMS-10087-CVDP-30245D7A-CE35-4391-BE8B-0AEA3C794FDE,440
IMS-10267-CVDP-963ADC9C-C16A-4292-97D3-211DE11CECCC,1005
IMS-10594-CVDP-C7EE4F19-7D21-4264-B2CA-D61E2D271B0A,121
IMS-10116-CVDP-FB23D350-FD85-4381-BFB2-58A11D4C9EF0,259
IMS-10087-CVDP-33223078-9C24-4DB1-81E8-BED3D4F1E2AB,66
IMS-10594-CVDP-6D0F3959-22BA-4868-A441-B50242B49C0E,75
IMS-10186-CVDP-2BD0D926-865A-41CD-BC0B-769BEA60590E,333
IMS-10116-CVDP-4602B5B6-6635-4F13-ACD9-87D1347BEDFE,100
IMS-10013-CVDP-28EAE5A9-ECAD-477C-87FE-B6FE10B9BA00,34
IMS-10061-CVDP-C07FF640-2D3D-4DF5-80EB-666E662375C4,83
IMS-10261-CVDP-49BA82B4-D2A0-407D-A5B2-BBCB12D9EF8A,230
IMS-10186-CVDP-F0E1DDAA-382F-4038-B24A-7978273AAA80,542
IMS-10116-CVDP-D2A912C1-0568-4DA7-8460-6E78BA53EFB1,480
IMS-10186-CVDP-DA9E1429-7EAE-4C4E-BFCD-3E8AA6A48C58,20
IMS-10116-CVDP-0939A1C0-DAEB-4100-ABE8-4C4A21430F6B,621
IMS-10225-CVDP-59309213-B696-4F35-900E-CDABAFA69C1C,680
IMS-10087-CVDP-25220453-513D-4B06-B538-D3B955DC9CD8,105
IMS-10267-CVDP-9516873A-1D7C-448B-AD37-075C7BDF0526,593
IMS-10087-CVDP-F12FAF5A-F767-431B-BC27-CE7FFF296CE0,64
IMS-10061-CVDP-2F6C71E2-49B1-4817-97E6-3032EF993FC3,0
IMS-10186-CVDP-CB9E5157-C476-4134-804E-72115D1F89F0,1047
IMS-10186-CVDP-F4F1340F-A829-433C-8296-40CD90A5367E,490
IMS-10116-CVDP-CF4048E1-C2C1-4CD9-B56E-C0C6F1FF6FD7,254
IMS-10116-CVDP-860D7FAC-0232-4323-BC0A-1A501A985CE1,416
IMS-10186-CVDP-9126B015-2F87-4DDF-BB3F-E3B23DC5DD89,455
IMS-10061-CVDP-DD017FDB-37E9-4794-8AB4-F2D185E123E8,327
IMS-10116-CVDP-FA35B0B3-0C72-4B61-8A59-D318759C96E6,424
IMS-10261-CVDP-3CDB12EA-1647-43E0-BED1-0FFDC77AE624,225
IMS-10116-CVDP-803C341B-50CC-4301-B04A-2FA9FA880ACD,340
IMS-10116-CVDP-42B2EB99-E76D-4DDC-A51C-8110ACC6F111,259
IMS-10013-CVDP-9CD1D07D-06C2-44AD-90D9-985E21B8B3E7,40
IMS-10116-CVDP-6D1DA183-9FD6-4434-8166-EE2BC0957208,323
IMS-10087-CVDP-F4934BCD-1D82-4184-AE05-A5A9A53893F8,887
IMS-10227-CVDP-F7F51B6F-E425-4D84-9B43-3333AFFA6BC4,0
IMS-10227-CVDP-8FF4C3F0-B44B-40A6-A8C4-BAFEF0275290,823
IMS-10061-CVDP-212BF54A-BD3E-49F0-B005-C085D7F3604A,289
IMS-10087-CVDP-66E8E4F8-5C35-47BC-AA2A-030D8738CA9F,363
IMS-10186-CVDP-14E639EA-D462-4B1E-855F-2C745F0706B6,258
IMS-10186-CVDP-87B643D3-1BB4-4546-BD88-13F69D47FCE6,1441
IMS-10087-CVDP-1C1CCC8D-5538-4A62-8CE3-FFC5D8B250B9,271
IMS-10061-CVDP-9A84CD5E-C66F-42A8-8012-8D66AC80DBFF,86
IMS-10116-CVDP-6A9AAF53-0B4D-40E3-B078-C58FB1ABB78C,576
IMS-10267-CVDP-03813F85-A1FF-4804-81DD-B08D828E319A,222
IMS-10594-CVDP-39BA9DE9-A91A-4057-851D-C2D0F1187289,1681
IMS-10186-CVDP-2F358917-7B42-46B6-B316-A4648B4C379E,1030
IMS-10087-CVDP-8B5A5F9E-F285-4BA0-80DE-C50BD29E6831,593
IMS-10087-CVDP-E97FACE6-7D67-46E7-8EEE-08B29DD4E62F,644
IMS-10225-CVDP-FDE554B5-DC68-47BD-AC0C-71FEBF56F26D,476
IMS-10061-CVDP-1DAFE051-3D32-4FB4-A4EF-4EB3C73DE16D,0
IMS-10087-CVDP-5C082F7C-F3AF-4D74-99D9-B70C0924C3FA,124
IMS-10267-CVDP-DC1ED38D-EC81-4A22-934E-E2CBABC63A02,605
IMS-10186-CVDP-6D90F37C-2515-4EF7-8BE1-D0495F780647,128
IMS-10267-CVDP-06E188A5-657A-40CA-B5F9-C72F34105D14,195
IMS-10087-CVDP-0BD3DBF6-4314-42F9-A87F-9BB87C9E08E0,261
IMS-10087-CVDP-DE8C6C3F-90B3-40C9-BF85-2AABE3567C1F,150
IMS-10116-CVDP-BE1B043F-4D09-4231-AEBC-7CCCEA34C7B8,1514
IMS-10087-CVDP-DB58A74B-B5A5-440C-8431-8CA7F8E66DA8,111
IMS-10227-CVDP-AB320E24-A804-4289-B2F7-511DDDB0521F,93
IMS-10267-CVDP-C23C28BB-00BF-48A0-A62B-122F96435247,351
IMS-10013-CVDP-01927,14
IMS-10227-CVDP-EC94AD30-9307-4E20-BF75-AB24061720A3,250
IMS-10116-CVDP-C2763F09-4EDE-4B34-9BD6-DEE9B8403304,121
IMS-10225-CVDP-9C082FA5-887D-47A4-86DD-0DCE20A4854F,701
IMS-10186-CVDP-D2BF6770-703E-44F7-B198-0C2EA3DC293C,1252
IMS-10087-CVDP-3FFCCAFC-522B-41A7-86BA-DDA6C6C69AAC,668
IMS-10116-CVDP-900E37F8-8306-4CB5-B495-A3B686F89628,1681
IMS-10594-CVDP-F3E59093-0743-4D65-9D17-6ECDC81AA319,323
IMS-10116-CVDP-4B4B9B51-407F-49B5-8742-B21C96A0B365,943
IMS-10013-CVDP-35AB62E8-1E39-4E13-AA2C-CCCD173A009B,268
IMS-10087-CVDP-52EC9914-0FD2-40A5-B16B-07AD4CF474D6,408
IMS-10116-CVDP-14653B47-BD92-4A4F-9D07-9748E5B9F289,251
IMS-10186-CVDP-2939465F-9816-4302-ADB2-84EF674E35D3,895
IMS-10186-CVDP-81433C0C-604B-4965-9D71-9E6F0969B1AA,77
IMS-10061-CVDP-5796EBA6-DF77-45EE-88A0-B93015EF3BA6,186
IMS-10186-CVDP-E55E4770-C113-44D3-9FB1-898DCEACE953,143
IMS-10087-CVDP-9DCA9D0B-8D69-43DE-B55B-B1F416B66433,202
IMS-10225-CVDP-97663B4A-1B8B-4B84-B2E8-2BCDB405DBE6,1242
IMS-10186-CVDP-0849042A-3BF2-4930-89D6-7CBC59E803C2,911
IMS-10225-CVDP-00420,8
IMS-10061-CVDP-EE7E0FA3-F4E7-485B-B504-20EB9B8E7826,0
IMS-10061-CVDP-52708524-7505-4A4D-B9CB-72CE8F672D7D,0
IMS-10087-CVDP-85FFF7D4-0C99-4F03-8B6D-B46B063F5131,217
IMS-10186-CVDP-4EC7B976-CDB1-4D44-B620-073C8BAC1A5C,903
IMS-10267-CVDP-2AEBD0D0-5A0D-4DC1-B1AD-B75A4CD22B5E,345
IMS-10087-CVDP-4454C72B-23E7-4A49-AEEA-1FDAA99E2271,85
IMS-10267-CVDP-00126,227
IMS-10087-CVDP-8BFD96C0-E615-49A2-99E6-DFCA37FDC497,414
IMS-10280-CVDP-2304353D-41FD-4933-A162-12043EE631A6,1087
IMS-10087-CVDP-AFF799FC-C626-49B1-972C-88DB4AB0FDE6,823
IMS-10186-CVDP-C1599317-B900-472B-AA44-916EBB0A13EB,551
IMS-10261-CVDP-AD5ED39F-C302-4ECF-8183-D4EF0E7663CD,84
IMS-10087-CVDP-EA8A29DF-FFA8-49BF-948A-808EBDC27BA9,102
IMS-10087-CVDP-213A7D8E-B08A-4B28-A28F-E1E921BCF309,131
IMS-10013-CVDP-950F6AD8-4C0A-4568-AF34-FD8951BF361C,32
IMS-10267-CVDP-2A453603-2EB2-4D47-A88C-6A96BDA425B0,161
IMS-10087-CVDP-7E9FAF37-D339-4317-9385-41741A0FE8CA,131
IMS-10061-CVDP-B49109AB-A918-4B95-A4DE-00501A61ED14,80
IMS-10267-CVDP-797C9EAF-1772-431E-881A-FDAEB6017C47,407
IMS-10227-CVDP-75175EC1-D53B-41BF-B29B-5192D26DB4DF,60
IMS-10186-CVDP-551E3FC9-C286-4B6A-BB7E-AF87E03CCB2F,885
IMS-10225-CVDP-FAB6BA0E-7569-46C6-8C5B-591BB4823464,267
IMS-10087-CVDP-DFF630FF-977D-4DAA-9C34-D2E8CC656A6A,128
IMS-10061-CVDP-823B586A-F787-4EC9-943C-05131D96220B,115
IMS-10227-CVDP-35AED9A3-8200-4041-85C9-49FE352E4206,101
IMS-10186-CVDP-576B13F2-EF0B-4D1E-AEC4-C9DD5D050287,608
IMS-10061-CVDP-FDD2AD39-EC1B-4434-8EEF-0ECF29EC1A30,28
IMS-10013-CVDP-1EB3E270-219E-4E80-AC0B-70F7DD106099,163
IMS-10087-CVDP-D0477CFC-E191-4BAB-AC5B-9675C028C694,354
IMS-10267-CVDP-DD465E13-CE8D-4CCE-BA22-8424D80B0552,627
IMS-10186-CVDP-8FAA7976-2601-4559-B1E3-61B2E7450C4D,268
IMS-10186-CVDP-2E3F7F92-9D85-4091-9312-D44C51E1F4B5,20
IMS-10087-CVDP-1F0E72AC-A519-4793-B282-AFF7CE590D9E,39
IMS-10227-CVDP-16F84ECF-C3C5-4920-856D-8BB806E3158C,298
IMS-10225-CVDP-63C10604-255D-4FD1-9A4D-4D23DA04CCD9,497
IMS-10225-CVDP-0796DACF-BE94-4CC3-A7DB-3606B0B16EF5,424
IMS-10087-CVDP-FF4D66A8-0993-46F4-9E89-18F5EE904071,260
IMS-10087-CVDP-A66DE1D4-7FE1-4ACA-B419-E53B0B62FFBD,448
IMS-10116-CVDP-7185F8CE-7E0C-40E1-B854-BCB2EA59D742,417
IMS-10225-CVDP-D0ECFE03-F5F4-4C81-8A14-47E9C5ECBE52,1347
IMS-10280-CVDP-2654D3A9-CE89-4DFE-8170-05E4B96F22D6,1111
IMS-10261-CVDP-B967DD3D-904B-4C66-B9A6-CEDF2E7D85B0,78
IMS-10227-CVDP-7470DE18-56C6-4B10-AB5A-E6FCD942CCE3,0
IMS-10594-CVDP-A8C6BCAC-DCBB-4227-B261-9618AAAC9FBA,3
IMS-10225-CVDP-FEE62343-BE2C-454B-8DC0-0413B38DD228,1678
IMS-10116-CVDP-BA06E11E-2FDF-49AC-8514-A779A3B56558,151
IMS-10261-CVDP-6B96582E-748C-4C7F-BE3E-424B046CD27D,306
IMS-10116-CVDP-4521FC80-5E5A-4E88-B3DC-3DCDE43CD41C,368
IMS-10267-CVDP-D6340652-54B2-408F-B55B-D7EBB4EAD3AB,306
IMS-10186-CVDP-1B16F652-6355-4B97-97FA-F34405C0AF05,746
IMS-10087-CVDP-F31AF817-30F6-4AE0-9247-7CF6DE64A06D,292
IMS-10186-CVDP-06ABBE7E-747D-42C3-B4BE-0340E870B93A,374
IMS-10186-CVDP-60919080-B046-4FDA-9020-E57BB9080CE4,668
IMS-10186-CVDP-5D522954-D529-498B-BEAF-288085795B94,1265
IMS-10087-CVDP-EF9D3E2E-42D4-4A0B-9F5D-0930510CDEA3,78
IMS-10186-CVDP-72F6C595-8314-4A44-B7CC-AD67A95FB5C4,126
IMS-10087-CVDP-19850CC1-1D03-49C9-BD44-C61E6D0CCDC4,229
IMS-10267-CVDP-22B4CA66-FE55-4F01-8F93-4E796AC13F86,371
IMS-10087-CVDP-F107A464-D4D7-492B-BB10-858137812BC5,560
IMS-10261-CVDP-496C440D-E98B-4639-9990-53D5E986B36E,862
IMS-10261-CVDP-00157,191
IMS-10341-CVDP-D1B0DB41-9787-4320-82D8-F5CCF97F71BD,534
IMS-10186-CVDP-585F7F22-3360-44CC-8971-3E97AD5A01EA,953
IMS-10267-CVDP-9CC986F8-115D-43DD-935C-FA7611184DFE,385
IMS-10116-CVDP-319DCFD5-2C5A-4232-B99C-8608AF3FD9A0,353
IMS-10061-CVDP-98F6A29E-6165-42EB-82AB-ABB12826606C,51
IMS-10267-CVDP-1DD7E036-D794-4193-BCED-9F74E7D08821,219
IMS-10087-CVDP-F08D59A2-8108-4EAA-8DFE-9C2AB687B3D1,1078
IMS-10267-CVDP-A6A7B6A1-AE4C-4D7D-8448-06FE205A3EFF,397
IMS-10267-CVDP-CF022604-86DC-48CF-AA25-8478A8D4AA79,647
IMS-10116-CVDP-0B291101-AB91-4805-8127-04C9C579DA5C,255
IMS-10013-CVDP-4C9C62B7-A8E0-4AC7-959A-58C93BFAE931,30
IMS-10061-CVDP-22EADF79-F95E-43B4-9034-3078D52D8367,102
IMS-10116-CVDP-0AAD3131-C6AA-4389-A379-0F684F3C4AFA,385
IMS-10087-CVDP-CBA7C54B-55AD-4291-B4FB-004BD6575AFF,564
IMS-10116-CVDP-B51F262D-A084-48B1-8954-98F625906AF8,259
IMS-10186-CVDP-E3737346-CBA7-49B6-8A24-98D228CF6828,1039
IMS-10261-CVDP-B2080EB2-C3DF-4688-A2CB-0D25B223F444,136
IMS-10225-CVDP-1FBCAC91-715A-4873-9F7C-28B968DEFA6B,358
IMS-10087-CVDP-77A79495-E41A-4190-8B33-8FD6434636FD,419
IMS-10261-CVDP-9833B95C-4E8B-4E0F-89DB-9DE83F358495,28
IMS-10594-CVDP-32E3EF7B-E1BE-4F48-A615-957F4E988EE4,169
IMS-10186-CVDP-647F7160-7B2C-42FE-85A3-E5F1E1C7B16B,450
IMS-10186-CVDP-80D8F7CE-44B5-4FAB-B40B-37CCEFCFBFA0,252
IMS-10087-CVDP-85ECDF55-878D-430D-B187-ED2A9B4F1BA4,104
IMS-10013-CVDP-9B84A8F5-42E1-4891-8241-84DEDA758D2A,200
IMS-10061-CVDP-2006BBCF-87D6-4362-899C-EC289DB8A04C,288
IMS-10267-CVDP-89D0636C-4D8E-45F1-894B-9316AC4F214B,784
IMS-10087-CVDP-92D88C7D-E5AE-40BB-AEB3-9579C0FE8C77,746
IMS-10227-CVDP-DE4C2937-09CD-4C7C-8ACC-734BBB88E0B0,79
IMS-10280-CVDP-74EED081-5B03-40D6-B702-1FE1DD711880,193
IMS-10341-CVDP-240CE3A8-B08A-4B6E-97F7-E0DB1E646DF3,100
IMS-10264-CVDP-FA6497F7-9448-4E30-BEE3-19ABBC601A25,8
IMS-10594-CVDP-D59610E0-2319-49D6-ACA0-EE5CBCED4A60,2
IMS-10261-CVDP-9084201E-F922-4D67-B0E1-9D7D4FA430D7,34
IMS-10225-CVDP-722512C1-6241-495A-8AF9-0E474B36D8EB,521
